Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
P,46,2016,71,STEM,Salaried,Agriculture,Civil,61085,61957,GHI,0,NA,NA,NA,1
P,49,2021,53,Arts,Self Business,Civil,Civil,100792,63035,TUK,0,NA,NA,NA,1
D,50,2020,49,Arts,Contractual,Civil,Civil,104217,44935,XYZ,0,NA,NA,NA,0
Q,46,2008,81,Law,Contractual,Civil,Finance,108209,72301,MNP,0,NA,NA,NA,0
P,42,2016,75,Arts,Contractual,Agriculture,IT,114842,32949,GHI,1,Salaried:20828,Salaried:36696,Contractual:40850,1
P,43,2016,78,Law,Salaried,Agriculture,IT,109514,38337,PQR,1,Self Business:116823,Self Business:99785,Salaried:114652,0
C,45,2007,61,Business,Self Business,Finance,IT,129613,76382,TUK,0,NA,NA,NA,0
P,44,2008,43,STEM,Contractual,Civil,Civil,26061,36752,TUK,1,Contractual:104058,Contractual:54727,Self Business:40640,1
C,47,2010,40,Arts,Self Business,Agriculture,Finance,49443,66648,PQR,0,NA,NA,NA,0
P,47,2002,66,Arts,Salaried,IT,Finance,81074,27434,GHI,0,NA,NA,NA,0
D,43,2018,86,STEM,Salaried,Finance,Finance,148162,48417,GHI,1,Salaried:124466,Salaried:47720,Contractual:56872,0
Q,45,2005,75,Business,Contractual,IT,Agriculture,28530,55077,PQR,0,NA,NA,NA,1
P,46,2012,44,Business,Salaried,Finance,IT,97393,74501,GHI,0,NA,NA,NA,1
P,41,2018,46,STEM,Self Business,Finance,IT,113836,68876,ABC,0,NA,NA,NA,0
P,45,2000,44,Business,Contractual,Finance,Civil,27711,47820,XYZ,0,NA,NA,NA,1
P,42,2000,76,Arts,Salaried,IT,Civil,85339,51357,ABC,1,Salaried:72016,Self Business:103245,Self Business:96790,0
C,45,2020,75,Law,Contractual,Civil,Finance,46467,77432,ABC,1,Contractual:74907,Salaried:148680,Salaried:73565,0
P,50,2002,74,Law,Self Business,Finance,Civil,69536,37546,GHI,1,Self Business:78444,Salaried:101696,Contractual:129376,1
D,50,2004,89,Law,Contractual,IT,Agriculture,35731,22651,TUK,1,Contractual:119227,Contractual:54346,Self Business:102273,1
C,46,2017,59,Business,Self Business,IT,IT,102097,64287,ABC,0,NA,NA,NA,0
C,49,2021,46,Business,Self Business,IT,Civil,79793,64990,MNP,0,NA,NA,NA,1
P,45,2002,43,Arts,Contractual,Civil,Finance,100919,31887,GHI,0,NA,NA,NA,1
C,47,2023,82,Arts,Salaried,Civil,Civil,115919,51230,MNP,1,Contractual:102733,Contractual:110673,Contractual:142884,1
P,41,1998,86,Business,Contractual,IT,Civil,112015,60382,GHI,1,Self Business:26003,Self Business:21288,Salaried:39905,1
P,50,2017,53,STEM,Self Business,IT,Civil,63603,24267,GHI,0,NA,NA,NA,1
C,49,2013,87,Arts,Salaried,Agriculture,Finance,98151,26551,MNP,1,Self Business:146941,Salaried:130620,Contractual:76079,1
Q,46,2004,57,STEM,Salaried,IT,IT,95093,76334,TUK,1,Contractual:46458,Contractual:130726,Contractual:51249,1
P,43,2007,72,Law,Contractual,Civil,IT,141452,69462,MNP,1,Self Business:70077,Salaried:112894,Self Business:78480,0
D,45,2002,62,Arts,Contractual,IT,IT,127377,38258,ABC,1,Salaried:88408,Contractual:86284,Salaried:54478,1
Q,45,2011,82,STEM,Contractual,Agriculture,Agriculture,65210,60399,PQR,1,Contractual:38260,Contractual:35009,Contractual:40637,1
D,40,2018,78,STEM,Salaried,IT,Agriculture,96529,31566,PQR,0,NA,NA,NA,0
Q,44,2010,42,Law,Salaried,Civil,Agriculture,60243,47643,ABC,1,Contractual:103780,Self Business:148726,Contractual:59300,0
Q,43,2006,60,STEM,Self Business,Agriculture,Civil,117463,55770,ABC,1,Salaried:62595,Contractual:118665,Salaried:43240,0
Q,45,2010,51,Business,Self Business,Civil,IT,105086,51453,PQR,1,Self Business:21320,Salaried:22332,Self Business:40274,1
C,42,2011,87,Business,Self Business,Agriculture,IT,113431,29557,MNP,0,NA,NA,NA,0
D,40,2023,46,Arts,Salaried,Finance,Agriculture,86813,67313,TUK,0,NA,NA,NA,0
P,50,2009,55,Arts,Self Business,Agriculture,Finance,69581,58155,TUK,1,Self Business:25499,Contractual:32134,Self Business:40178,1
D,49,2003,90,STEM,Salaried,Finance,Agriculture,40268,75572,TUK,0,NA,NA,NA,0
D,48,2022,83,Arts,Contractual,Agriculture,Agriculture,107016,46948,GHI,1,Self Business:116404,Salaried:59286,Contractual:125548,0
C,49,2001,66,Business,Contractual,Agriculture,Finance,146309,37536,ABC,1,Salaried:45332,Contractual:86785,Salaried:114971,1
D,40,2010,50,STEM,Salaried,Finance,IT,132173,48398,TUK,0,NA,NA,NA,0
C,46,2019,71,Law,Contractual,Finance,Finance,33178,44856,PQR,0,NA,NA,NA,1
P,46,2010,59,Business,Salaried,IT,Agriculture,97697,21856,XYZ,0,NA,NA,NA,0
P,44,2017,88,STEM,Salaried,Agriculture,Civil,121791,71580,TUK,0,NA,NA,NA,1
P,43,2012,80,Law,Salaried,Agriculture,Finance,83200,67355,ABC,1,Contractual:110571,Salaried:83036,Contractual:126671,1
C,48,2015,60,Business,Contractual,Civil,Civil,71281,56084,MNP,1,Contractual:81036,Contractual:147734,Salaried:40942,0
D,41,2021,41,Business,Self Business,IT,Civil,140813,65413,MNP,0,NA,NA,NA,1
Q,49,2019,83,STEM,Salaried,Agriculture,Finance,49306,28212,MNP,0,NA,NA,NA,0
P,50,2021,89,STEM,Self Business,Civil,Civil,74426,65377,TUK,0,NA,NA,NA,1
P,45,2002,46,Law,Contractual,Finance,IT,107447,62971,GHI,0,NA,NA,NA,0
D,48,2004,49,STEM,Contractual,Civil,Agriculture,22081,21338,XYZ,0,NA,NA,NA,1
P,49,2004,61,Arts,Contractual,Finance,Finance,80492,54744,TUK,1,Contractual:135534,Self Business:42516,Contractual:144357,1
P,48,2020,66,Arts,Self Business,Civil,Civil,134925,58082,XYZ,1,Self Business:74454,Salaried:96276,Salaried:48804,1
D,50,2002,62,Business,Salaried,Civil,IT,145727,47713,GHI,1,Self Business:72315,Contractual:145640,Self Business:134240,1
D,50,2012,85,Arts,Contractual,Civil,Agriculture,40218,53257,XYZ,1,Self Business:128509,Salaried:145705,Salaried:70581,0
C,43,2008,71,STEM,Contractual,Finance,Agriculture,31594,74121,MNP,1,Salaried:64939,Self Business:132211,Self Business:69112,1
P,45,2013,81,Arts,Contractual,Agriculture,IT,31750,36061,ABC,0,NA,NA,NA,1
D,45,2002,90,STEM,Self Business,Civil,IT,120219,24963,MNP,1,Self Business:56460,Self Business:107058,Salaried:141489,1
C,42,2019,70,Law,Contractual,Finance,Civil,33241,48417,TUK,1,Contractual:92955,Self Business:73162,Salaried:102462,1
Q,46,2004,41,Business,Contractual,Civil,Finance,54777,54759,MNP,1,Contractual:79261,Salaried:82751,Self Business:148289,0
D,44,2016,69,Law,Self Business,Finance,Civil,131105,48333,ABC,1,Self Business:73643,Self Business:47688,Contractual:103890,0
D,47,2005,56,STEM,Contractual,Finance,IT,87659,51075,TUK,0,NA,NA,NA,0
D,47,2003,57,Law,Contractual,IT,Finance,25260,63208,PQR,0,NA,NA,NA,1
C,50,2017,66,STEM,Contractual,Finance,Civil,148206,26270,GHI,1,Contractual:50714,Contractual:50649,Self Business:137347,1
D,48,2011,67,Arts,Contractual,IT,Finance,66344,22909,ABC,1,Contractual:42546,Contractual:118492,Self Business:68826,1
C,45,2006,84,STEM,Contractual,Finance,Finance,145480,41088,MNP,0,NA,NA,NA,0
D,46,1998,41,STEM,Self Business,IT,Finance,94653,79099,GHI,1,Self Business:45367,Self Business:78618,Salaried:44202,0
Q,45,2015,63,STEM,Contractual,Civil,Finance,95325,45893,MNP,1,Salaried:143587,Salaried:68607,Salaried:43796,0
P,45,2010,68,Business,Contractual,Civil,IT,40627,44633,XYZ,1,Self Business:57033,Contractual:132652,Contractual:95467,0
C,43,2019,47,STEM,Self Business,Civil,Civil,84649,42146,TUK,1,Salaried:93960,Salaried:145142,Salaried:136807,0
C,46,2002,72,Arts,Self Business,Finance,Civil,128176,53219,PQR,1,Contractual:79258,Self Business:146695,Contractual:149443,0
P,48,2001,43,Law,Contractual,Agriculture,IT,63667,72357,GHI,1,Self Business:52807,Self Business:103385,Salaried:68147,1
D,49,2020,76,STEM,Self Business,IT,Civil,115599,64852,ABC,1,Salaried:67066,Contractual:99760,Contractual:55969,1
D,40,2021,80,Arts,Salaried,IT,Agriculture,115024,49506,TUK,0,NA,NA,NA,1
Q,47,2022,81,Business,Contractual,Agriculture,Finance,128812,74042,MNP,1,Contractual:95960,Contractual:76863,Contractual:83527,1
Q,49,2003,78,Arts,Contractual,Agriculture,Civil,52952,55603,XYZ,1,Self Business:21094,Salaried:33676,Contractual:39024,1
P,48,2020,42,Law,Contractual,Agriculture,Agriculture,116274,68658,MNP,1,Contractual:54248,Contractual:51206,Self Business:86025,1
C,44,2008,40,Law,Contractual,IT,Finance,36104,25360,TUK,0,NA,NA,NA,1
D,40,2020,75,Business,Self Business,Agriculture,Civil,100169,69840,TUK,1,Self Business:101840,Self Business:100858,Self Business:88130,1
Q,41,2020,44,Business,Self Business,Civil,Agriculture,123112,47132,TUK,0,NA,NA,NA,0
Q,42,2009,82,Arts,Self Business,Civil,IT,136924,49680,MNP,1,Salaried:128948,Self Business:132848,Contractual:95122,0
C,42,1999,61,Law,Contractual,Agriculture,Finance,31279,63391,PQR,0,NA,NA,NA,1
Q,41,2014,44,Law,Salaried,Agriculture,Finance,92945,66620,PQR,0,NA,NA,NA,1
C,40,2005,40,Business,Contractual,Civil,IT,64987,76029,XYZ,1,Contractual:128473,Self Business:105125,Salaried:123754,0
C,49,2017,73,STEM,Self Business,Finance,Agriculture,87868,42270,XYZ,1,Salaried:33800,Self Business:25029,Salaried:39159,1
D,43,1998,86,STEM,Salaried,Finance,Agriculture,63371,26747,ABC,1,Self Business:91316,Salaried:120705,Contractual:89925,0
C,42,2018,52,STEM,Self Business,Civil,IT,50744,59598,ABC,1,Salaried:145550,Salaried:69206,Salaried:56435,0
P,40,2017,57,Arts,Salaried,Civil,Finance,96318,72538,GHI,0,NA,NA,NA,0
C,42,2003,77,STEM,Self Business,IT,Agriculture,53818,59174,TUK,1,Self Business:137694,Self Business:95492,Salaried:45106,0
D,45,2021,86,Business,Salaried,Civil,Civil,96874,70843,PQR,0,NA,NA,NA,1
Q,48,2010,52,Law,Self Business,Agriculture,IT,137798,64412,MNP,0,NA,NA,NA,0
P,42,2006,53,Business,Self Business,Agriculture,Finance,66323,65987,TUK,1,Salaried:69087,Salaried:41851,Self Business:141773,0
P,42,2009,40,Arts,Salaried,Finance,Finance,130779,65448,GHI,0,NA,NA,NA,1
C,46,2008,87,Arts,Contractual,Agriculture,IT,143574,48565,TUK,0,NA,NA,NA,0
C,41,2005,56,Arts,Contractual,Agriculture,Finance,134065,40213,XYZ,1,Self Business:142610,Salaried:61522,Contractual:128420,0
Q,40,2023,61,Business,Contractual,IT,Agriculture,59048,57487,ABC,1,Contractual:36701,Salaried:35547,Contractual:39244,1
P,50,2020,53,Arts,Contractual,Agriculture,Agriculture,53652,25586,ABC,0,NA,NA,NA,0
D,44,2021,83,Arts,Self Business,Agriculture,Agriculture,71097,53036,MNP,0,NA,NA,NA,0
C,47,2000,64,Arts,Salaried,Finance,IT,104676,23678,ABC,1,Self Business:58741,Salaried:128288,Self Business:77826,0
D,47,2000,58,Business,Salaried,IT,Agriculture,60612,64352,XYZ,0,NA,NA,NA,0
P,49,2022,89,Business,Contractual,Civil,IT,23630,77903,MNP,1,Salaried:69892,Contractual:99629,Self Business:136001,1
Q,42,2013,72,Law,Salaried,IT,IT,73949,53126,PQR,1,Contractual:36695,Self Business:28188,Contractual:40058,1
P,41,2022,83,Business,Self Business,Agriculture,Finance,41875,58385,XYZ,0,NA,NA,NA,0
C,49,2016,87,Business,Salaried,Agriculture,IT,143036,48983,MNP,1,Salaried:43866,Self Business:136348,Contractual:56635,0
D,40,2007,58,Arts,Self Business,Agriculture,Finance,146524,73597,ABC,0,NA,NA,NA,0
C,45,2009,42,STEM,Contractual,IT,Agriculture,106908,47862,ABC,0,NA,NA,NA,1
C,47,2008,60,Arts,Contractual,Agriculture,IT,59146,44838,TUK,0,NA,NA,NA,0
P,44,2013,65,STEM,Contractual,Finance,IT,108421,51164,PQR,1,Self Business:139866,Salaried:60499,Contractual:86855,0
C,45,2006,55,Law,Contractual,Finance,Agriculture,116266,61073,GHI,1,Salaried:25905,Salaried:31003,Salaried:39771,1
P,40,2018,76,Law,Self Business,Finance,Civil,139634,27512,GHI,0,NA,NA,NA,1
D,43,2006,51,STEM,Self Business,Finance,Civil,132230,29211,PQR,1,Contractual:98519,Contractual:149478,Contractual:111768,1
P,44,2022,41,Business,Salaried,IT,Agriculture,140489,35428,XYZ,0,NA,NA,NA,1
P,49,2012,78,Law,Self Business,Finance,Agriculture,64128,67405,GHI,0,NA,NA,NA,0
P,50,2001,62,STEM,Salaried,Finance,IT,59127,23825,ABC,1,Salaried:149716,Self Business:94906,Self Business:70771,1
P,42,1998,85,Arts,Contractual,Civil,Civil,110789,47433,TUK,1,Salaried:95551,Self Business:59646,Self Business:109266,1
Q,46,2020,46,Business,Self Business,Finance,Civil,125262,34673,ABC,1,Self Business:58105,Self Business:79076,Salaried:68523,1
D,48,2021,47,Law,Contractual,IT,IT,89048,67172,PQR,0,NA,NA,NA,0
C,40,2008,88,Arts,Salaried,Finance,Civil,141264,59124,TUK,0,NA,NA,NA,0
C,40,2008,67,Business,Salaried,Civil,Agriculture,56800,21010,ABC,1,Contractual:102262,Self Business:56380,Self Business:128812,0
D,46,2020,54,Arts,Salaried,Civil,IT,120131,34316,XYZ,0,NA,NA,NA,0
C,48,2008,87,Business,Self Business,IT,IT,83072,38135,XYZ,0,NA,NA,NA,0
D,50,2012,74,Business,Contractual,Agriculture,Civil,118808,61227,MNP,1,Contractual:38001,Salaried:23313,Self Business:40588,1
C,43,2016,63,Arts,Salaried,Civil,Finance,128466,55064,MNP,0,NA,NA,NA,0
C,48,2010,56,Law,Contractual,Civil,Finance,130550,64216,GHI,0,NA,NA,NA,0
D,40,2021,40,STEM,Contractual,Civil,IT,27754,28695,GHI,0,NA,NA,NA,1
Q,41,2016,67,Business,Contractual,IT,IT,109342,20210,PQR,1,Contractual:138094,Salaried:86024,Self Business:81469,0
C,44,2013,49,STEM,Contractual,Finance,IT,88524,61889,TUK,0,NA,NA,NA,0
D,49,2021,44,Arts,Self Business,Civil,IT,81012,64789,TUK,1,Salaried:146657,Self Business:70933,Salaried:92598,0
C,46,2002,44,Law,Salaried,Civil,Finance,120511,31064,ABC,1,Salaried:44199,Contractual:86870,Contractual:87850,0
P,42,2001,52,STEM,Contractual,IT,Agriculture,40041,71406,ABC,1,Contractual:109773,Contractual:44523,Self Business:78088,1
P,42,2001,42,Business,Salaried,IT,IT,52310,39977,MNP,0,NA,NA,NA,1
P,47,2008,65,Arts,Contractual,Finance,Agriculture,108034,35988,GHI,1,Self Business:90976,Salaried:100192,Self Business:87432,0
C,44,2002,75,STEM,Self Business,IT,Civil,52840,55583,GHI,1,Self Business:90239,Self Business:96367,Salaried:107088,1
C,49,2020,42,Arts,Self Business,Civil,Civil,59273,61460,TUK,0,NA,NA,NA,1
C,46,2009,80,Law,Salaried,IT,Agriculture,139145,57803,XYZ,0,NA,NA,NA,0
P,40,2010,71,Arts,Contractual,IT,Finance,22052,69399,GHI,1,Contractual:138969,Self Business:92415,Salaried:66427,1
P,50,2011,51,Arts,Contractual,IT,Finance,147033,35664,MNP,0,NA,NA,NA,0
C,45,1998,58,STEM,Salaried,Agriculture,IT,72790,47370,MNP,0,NA,NA,NA,0
C,41,2002,70,Law,Salaried,IT,Finance,73960,23953,PQR,1,Contractual:99426,Contractual:102374,Contractual:60064,1
D,47,2004,64,STEM,Self Business,IT,Agriculture,139627,74391,PQR,0,NA,NA,NA,0
Q,46,2011,62,Law,Self Business,Civil,IT,73894,26648,XYZ,0,NA,NA,NA,0
P,45,2012,76,Law,Contractual,Civil,Agriculture,120957,58780,XYZ,1,Self Business:81041,Salaried:55797,Salaried:59731,0
Q,47,2002,84,STEM,Self Business,IT,Civil,52993,66889,ABC,0,NA,NA,NA,1
D,50,2020,50,Arts,Contractual,IT,Civil,107631,56697,GHI,1,Contractual:140214,Salaried:103211,Contractual:130951,0
Q,43,2021,73,Business,Contractual,IT,Finance,34110,59474,PQR,0,NA,NA,NA,1
Q,47,2019,79,STEM,Contractual,Agriculture,Finance,133438,57991,GHI,1,Salaried:33607,Self Business:32344,Self Business:39969,1
C,41,2021,65,Law,Self Business,Civil,Civil,106082,40608,ABC,0,NA,NA,NA,1
Q,50,2023,73,STEM,Self Business,Finance,Finance,123039,70733,XYZ,0,NA,NA,NA,0
D,49,2020,70,Law,Self Business,Finance,Civil,89091,43193,MNP,0,NA,NA,NA,1
C,44,2012,48,Law,Contractual,Agriculture,Civil,24455,43195,TUK,0,NA,NA,NA,1
P,43,2021,61,Business,Self Business,IT,Civil,86472,41224,ABC,0,NA,NA,NA,1
P,42,2021,46,Business,Self Business,Agriculture,Civil,105222,44498,XYZ,0,NA,NA,NA,1
D,47,2008,76,Business,Self Business,IT,IT,97514,58686,XYZ,1,Contractual:72450,Salaried:125853,Self Business:42667,0
D,48,2002,61,Business,Self Business,IT,IT,123070,55682,ABC,1,Salaried:106936,Self Business:82949,Self Business:90693,0
Q,42,2001,87,Arts,Salaried,Agriculture,Finance,42922,65848,TUK,1,Contractual:76137,Contractual:140345,Contractual:48290,1
Q,48,2004,62,Arts,Salaried,IT,Civil,105883,52141,MNP,1,Self Business:84500,Salaried:48122,Contractual:67367,0
Q,44,2001,89,STEM,Salaried,Civil,Civil,123583,28875,XYZ,0,NA,NA,NA,1
Q,41,2017,82,Law,Contractual,Civil,IT,145237,33719,MNP,0,NA,NA,NA,1
C,49,2001,82,Arts,Self Business,Finance,Agriculture,119306,32022,GHI,1,Contractual:53019,Contractual:117419,Self Business:132076,0
D,42,2000,85,Business,Contractual,Finance,Finance,87788,22770,PQR,1,Salaried:74068,Contractual:114338,Contractual:68237,0
Q,43,2014,72,STEM,Self Business,Finance,Civil,118748,29955,PQR,0,NA,NA,NA,0
D,50,2006,87,Arts,Contractual,Civil,IT,61757,26960,GHI,0,NA,NA,NA,0
C,41,1998,78,STEM,Salaried,IT,Finance,69632,47629,XYZ,0,NA,NA,NA,0
D,46,2020,57,Business,Salaried,IT,Finance,141618,34449,ABC,1,Contractual:148846,Contractual:45805,Self Business:132448,1
D,49,2011,59,Law,Contractual,Agriculture,IT,26693,50713,GHI,0,NA,NA,NA,1
Q,43,2006,84,Arts,Salaried,Finance,Agriculture,42610,25479,GHI,1,Self Business:129710,Contractual:75642,Contractual:133309,0
D,47,2003,56,Arts,Contractual,Finance,IT,20955,27278,XYZ,0,NA,NA,NA,1
Q,47,2004,74,STEM,Self Business,Civil,Civil,46671,48673,TUK,1,Self Business:55682,Salaried:89203,Contractual:72856,0
C,43,2003,81,STEM,Self Business,Finance,IT,137046,38137,ABC,1,Salaried:25167,Self Business:21744,Self Business:39908,1
P,47,2017,40,Arts,Self Business,Finance,Civil,85329,42993,GHI,1,Salaried:57152,Contractual:59708,Salaried:70145,1
P,45,2009,54,Business,Self Business,Civil,Civil,145812,50159,PQR,0,NA,NA,NA,0
Q,46,2018,60,Law,Self Business,IT,Finance,139069,46265,TUK,1,Contractual:103013,Contractual:114829,Self Business:100720,1
P,50,2005,83,Arts,Self Business,Finance,Agriculture,119518,77097,PQR,0,NA,NA,NA,0
Q,44,2012,64,STEM,Contractual,Civil,Finance,38113,77549,MNP,1,Salaried:45073,Contractual:64168,Salaried:90406,1
C,42,2001,82,Business,Contractual,Civil,Agriculture,97159,49244,GHI,1,Self Business:60558,Salaried:99960,Salaried:87005,1
C,42,2020,43,Business,Self Business,Finance,Civil,108032,56507,PQR,1,Salaried:40125,Self Business:131550,Salaried:64037,1
D,40,2002,77,STEM,Self Business,Finance,IT,54389,35613,GHI,1,Contractual:58980,Contractual:137328,Salaried:61471,1
C,41,2012,84,Arts,Salaried,Finance,IT,81471,63226,GHI,0,NA,NA,NA,0
P,47,1999,66,Business,Salaried,Finance,Agriculture,122612,33154,ABC,1,Contractual:82116,Contractual:146212,Salaried:93261,1
P,47,2005,53,Arts,Salaried,Finance,Finance,115445,69852,PQR,1,Self Business:120847,Self Business:102165,Self Business:86024,0
D,41,2010,83,Business,Contractual,Agriculture,IT,69577,24709,ABC,1,Salaried:33262,Contractual:33260,Self Business:39413,1
Q,40,2000,51,Business,Self Business,Finance,Civil,118179,28705,MNP,1,Contractual:93096,Contractual:103998,Contractual:120479,1
P,42,2000,56,Business,Salaried,Agriculture,Finance,110974,55657,ABC,1,Contractual:102605,Contractual:45848,Contractual:86042,1
P,48,1998,54,Arts,Contractual,Agriculture,Civil,139102,22928,TUK,0,NA,NA,NA,1
P,43,2013,83,Business,Salaried,Agriculture,Finance,95028,39190,MNP,1,Self Business:127182,Contractual:98426,Salaried:58037,0
D,50,2022,53,Business,Contractual,IT,Finance,46172,33964,XYZ,1,Contractual:139947,Contractual:63061,Contractual:127031,1
P,50,2012,48,Business,Contractual,IT,IT,117375,54936,MNP,1,Salaried:102051,Contractual:89069,Contractual:71726,1
P,49,2017,75,Business,Self Business,Agriculture,Finance,137677,30608,GHI,1,Self Business:78221,Self Business:129373,Self Business:107178,1
Q,46,2001,83,Law,Self Business,IT,Agriculture,116668,77173,MNP,1,Contractual:148486,Contractual:49612,Self Business:102692,1
D,45,2018,64,STEM,Self Business,Agriculture,IT,40733,43100,PQR,0,NA,NA,NA,0
P,44,2017,43,Arts,Self Business,IT,Civil,86186,66872,TUK,0,NA,NA,NA,0
Q,43,1999,62,Business,Contractual,IT,Finance,132372,24240,MNP,1,Contractual:71273,Contractual:145193,Self Business:113374,1
D,40,2019,75,Business,Contractual,Finance,IT,149825,75809,TUK,1,Salaried:104872,Salaried:102854,Self Business:104075,0
Q,50,1999,40,Law,Self Business,IT,IT,132051,57880,TUK,1,Contractual:118311,Contractual:74537,Contractual:58305,1
Q,40,2006,72,Business,Self Business,Finance,IT,144575,43785,XYZ,1,Contractual:46795,Self Business:66425,Salaried:113973,0
P,49,2019,66,Arts,Contractual,IT,IT,123163,46232,PQR,0,NA,NA,NA,1
P,41,2003,65,Arts,Self Business,Agriculture,Agriculture,64470,36458,ABC,1,Salaried:94917,Self Business:91468,Salaried:61928,1
P,43,2014,40,Arts,Self Business,IT,Agriculture,43343,70527,PQR,1,Salaried:131044,Salaried:47542,Self Business:85710,1
D,48,2018,83,Law,Salaried,Agriculture,IT,73766,39934,PQR,0,NA,NA,NA,0
C,44,2020,84,STEM,Salaried,Agriculture,Civil,83304,40171,TUK,0,NA,NA,NA,0
D,46,2014,71,Business,Salaried,Civil,Civil,140231,57667,XYZ,1,Contractual:99525,Salaried:105436,Self Business:143254,0
Q,42,2019,84,Law,Salaried,Finance,Finance,42083,23199,TUK,0,NA,NA,NA,0
P,41,2022,82,Arts,Self Business,Agriculture,Finance,130683,79400,TUK,0,NA,NA,NA,0
P,48,2021,45,Arts,Contractual,Finance,Civil,38719,53077,MNP,0,NA,NA,NA,1
C,49,2022,68,Law,Self Business,IT,IT,102129,62824,MNP,1,Salaried:135006,Salaried:94226,Salaried:149316,0
P,49,2007,76,Business,Salaried,IT,Finance,75150,33081,MNP,0,NA,NA,NA,0
P,41,2010,73,Arts,Contractual,IT,Finance,27033,23948,TUK,0,NA,NA,NA,1
P,41,2012,50,STEM,Salaried,IT,Agriculture,127204,43259,ABC,0,NA,NA,NA,1
C,48,1999,84,STEM,Salaried,Civil,Civil,72131,54706,MNP,1,Self Business:139093,Salaried:52998,Self Business:93697,0
C,45,2021,56,Business,Self Business,Civil,Civil,139700,21909,GHI,0,NA,NA,NA,1
